DCS Controller,OPC Tag,DeviceType,EMFLOC,CM FLOC,Type of measurement,MeasurementMethod,TagUnitOfMeasure,MeasurementSpecification,External line
FCS1121,T_PMP9321901.PV,pump,T_PMP9321901,XI-932-19-01,state,abs,,2 = RUN / 0 = STOP,VPL19
FCS1121,T_PMP9322001.PV,pump,T_PMP9322001,XI-932-20-01,state,abs,,2 = RUN / 0 = STOP,VPL19
FCS1103,T_FIC5910101.PV,flow transmitter,VPL16,FIC-591-01-01,flowrate,sum,MQH,,VPL16
FCS1103,T_LPT5910101.PV,pipeline,VPL16,PT-591-01-01,pressure,max,BAR,,VPL16
FCS1103,T_LTT5910101.PV,pipeline,VPL16,LTT-591-01-01,temperature,avg,CEL,,VPL16
FCS1103,T_LTT5910102.PV,pipeline,VPL16,LTT-591-01-02,temperature,avg,CEL,,VPL16
